3 1 4 2 5 4 1 3 5 2 0 1 1 0 2 3 4 5 0 1
Page replacement using LRU
time step 0: 3
time step 1: 3 1
time step 2: 3 1 4
time step 3: 3 1 4 2
time step 4: 5 1 4 2
time step 5: 5 1 4 2
time step 6: 5 1 4 2
time step 7: 5 1 4 3
time step 8: 5 1 4 3
time step 9: 5 1 2 3
time step 10: 5 0 2 3
time step 11: 5 0 2 1
time step 12: 5 0 2 1
time step 13: 5 0 2 1
time step 14: 5 0 2 1
time step 15: 3 0 2 1
time step 16: 3 0 2 4
time step 17: 3 5 2 4
time step 18: 3 5 0 4
time step 19: 1 5 0 4
total number of page faults = 14
